ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Allow customer reviews?,Categories,Regular price,Sale price,Images
,simple,luminarc-wine-glass-savoie-190ml---11908,Luminarc Wine Glass Savoie 190ML - 11908,1,1,visible,"The Luminarc Savoie Stemmed Glass is ideal for serving wine at house parties, family gatherings, get-togethers with friends, etc. ","<div class=""description"">
                <p>The Luminarc Savoie Stemmed Glass is ideal for serving wine at house parties, family gatherings, get-togethers with friends, etc. </p><p>The stemmed glasses comes with a smooth, polished finish and holding capacity of 190ML.</p>
            </div>",,,taxable,,1,100,1,Glass > Wine Glass,145.60000000000002,130,https://cheers.com.np/uploads/products/8413424730419240260342408498702679395283.png
,simple,monin-bitter-syrup-700ml,Monin Bitter Syrup 700ML,1,1,visible,"Bitter is the tasteful non-alcoholic version of a mix of plants and spices. Add bitterness to your favourite beverages with our concoction of gentian, cardamom, ginger, spices, cherry and nut.","<div class=""description"">
                <p>Bitter is the tasteful non-alcoholic version of a mix of plants and spices. Add bitterness to your favourite beverages with our concoction of gentian, cardamom, ginger, spices, cherry and nut.</p><p>MONIN Bitter adds a hint of bitterness to lemonades, juices as well as to classic cocktails like the famous Americano.</p><p>Colour: Clear deep ruby red colour.</p><p>Tasting Notes: Nose of fresh gentian roots, with orange peel notes. Intense sweet and bitter taste of gentian roots with some spicy and fruity notes.</p>
            </div>",,,taxable,,1,100,1,Mixers > Syrup,1512.0000000000002,1350,https://cheers.com.np/uploads/products/8099895333331971413990815073520201916.png
,simple,monin-vanilla-syrup-1l,Monin Vanilla Syrup 1L,1,1,visible,"Using pure Madagascar vanilla ensures that MONIN Vanilla syrup will bring high-quality, rich flavour to drinks and desserts. This popular, versatile flavour brings smooth warmth to beverages of every kind.","<div class=""description"">
                <p>Using pure Madagascar vanilla ensures that MONIN Vanilla syrup will bring high-quality, rich flavour to drinks and desserts. This popular, versatile flavour brings smooth warmth to beverages of every kind.</p><p>MONIN Vanilla syrup adds rich, smooth flavour to lattes, mochas, smoothies, shakes, specialty cocktails or even whipped cream.</p><p>Colour: Slightly amber</p><p>Tasting Notes: Vanilla pod flavour sublimate in combination with exotic flavours. Powder taste and slight brandy smell.</p>
            </div>",,,taxable,,1,100,1,Mixers > Syrup,1960.0000000000002,1750,https://cheers.com.np/uploads/products/435580342316947193663666279510314211837.png
,simple,adity-salted-roasted-peanuts-90g,Adity Salted Roasted Peanuts 90G,1,1,visible,"• These peanuts are mildly salted and is of great quality. ","<div class=""description"">
                <p>• These peanuts are mildly salted and is of great quality. </p><p>• The freshness and crisp of the peanuts makes the experience unbeatable. </p><p>• This locally manufactured product is serving since 1998.</p>
            </div>",,,taxable,,1,100,1,Snacks,56.00000000000001,50,https://cheers.com.np/uploads/products/3741269457319477732914240016319471821750.png
,simple,gift-box-with-assorted-flowers,Gift Box with Assorted Flowers,1,1,visible,"❤❤ Gift Box Special ❤❤","<div class=""description"">
                <p>❤❤ Gift Box Special ❤❤</p><p>Delight your loved ones with this special gift box with assorted flowers!</p><p>* Gift box does not include the bottle.</p><p>** Bottle needs to be bought separately.</p>
            </div>",,,taxable,,1,100,1,Offers,2800.0000000000005,2500,https://cheers.com.np/uploads/products/4341687737199217992831414865976246244875769.png
,simple,chivas-regal-12yrs-2l-+-1-glass-free,Chivas Regal 12yrs 2L + 1 Glass Free,1,1,visible,"Get 1 exclusive glass free with each bottle!","<div class=""description"">
                <p>Get 1 exclusive glass free with each bottle!</p><p>*** Offer valid only till stocks last.</p><p>~~~~</p><p>Chivas Regal is a blend of many different malt and grain Scotch whiskies, matured for at least 12 years. From the oldest operating distillery in the Scottish Highlands, Chivas Regal has been famous for its extraordinary selection of malt Whiskies. </p><p>Matured for 12 years the result is a rich and generous whisky with honey and hazelnut notes and a long creamy finish. This rich, smooth blend balances style with substance and tradition with a modern twist.</p>
            </div>",,,taxable,,1,100,1,Offers,16576.0,14800,https://cheers.com.np/uploads/products/753311637147970528252120493007010814566596.png
,simple,coolberg-ginger-bottle-300ml,Coolberg Ginger Bottle 300ML,1,1,visible,"Ginger beer found its existence in England during 18th century. It is one of the finest drink developed with the natural ginger extracts matured over the period of time. ","<div class=""description"">
                <p>Ginger beer found its existence in England during 18th century. It is one of the finest drink developed with the natural ginger extracts matured over the period of time. </p><p>Ginger has been known for its various health benefits and has been popular since the time of Ayurveda.</p><p>This non-alcoholic Ginger beer takes care of youth’s eternal taste buds needs and aims to deliver an unforgettable experience</p>
            </div>",,,taxable,,1,100,1,Beverages > Non Alcoholic,196.00000000000003,175,https://cheers.com.np/uploads/products/97143377480074045022125438475966937630029.png
,simple,coolberg-cranberry-bottle-300ml,Coolberg Cranberry Bottle 300ML,1,1,visible,"Cranberry Beer amazes your senses with a strong whiff, festive hue and tart finish of cranberries. ","<div class=""description"">
                <p>Cranberry Beer amazes your senses with a strong whiff, festive hue and tart finish of cranberries. </p><p>It is perfectly brewed to present a blend of freshness that is just hoppy enough to tingle your nerves.</p>
            </div>",,,taxable,,1,100,1,Beverages > Non Alcoholic,196.00000000000003,175,https://cheers.com.np/uploads/products/1044256679682873825068495389357699391350.png
,simple,coke-no-sugar-can-320ml,Coke No Sugar Can 320ML,1,1,visible,"• Coca-Cola No Sugar is a new and improved sugar free cola that looks and tastes even more like Coca-Cola Classic, but without the sugar. ","<div class=""description"">
                <p>• Coca-Cola No Sugar is a new and improved sugar free cola that looks and tastes even more like Coca-Cola Classic, but without the sugar. </p><p>• It replaces Coca-Cola Zero, which was launched in 2008, and is one of the steps we are taking to help people reduce their sugar intake from our drinks. </p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,196.00000000000003,175,https://cheers.com.np/uploads/products/941723317703325101721939959895002446968.png
,simple,coke-light-can-320ml,Coke Light Can 320ML,1,1,visible,"• Coca-Cola light is a sugar and calorie free soft drink with a deliciously crisp taste. ","<div class=""description"">
                <p>• Coca-Cola light is a sugar and calorie free soft drink with a deliciously crisp taste. </p><p>• It was first introduced in the United States in 1982.</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,196.00000000000003,175,https://cheers.com.np/uploads/products/96706873814060380705399365477704373435832.png
,simple,coke-classic-can-320ml,Coke Classic Can 320ML,1,1,visible,"• Coca-Cola Classic is the world’s favorite soft drink and has been enjoyed since 1886. ","<div class=""description"">
                <p>• Coca-Cola Classic is the world’s favorite soft drink and has been enjoyed since 1886. </p><p>• Whether you want a 150ml mini can or a large 1.5 liter bottle for sharing, you can find Coca-Cola Classic in a variety of sizes to suit every lifestyle and occasion.</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,196.00000000000003,175,https://cheers.com.np/uploads/products/7043827010062027826631129495730829267844100.png
,simple,buzz-strawberry-flavoured-energy-drink-250ml,Buzz Strawberry Flavoured Energy Drink 250ML,1,1,visible,Get Energy to the Next level with BUZZ ENERGY DRINK.,"<div class=""description"">
                <p>Get Energy to the Next level with BUZZ ENERGY DRINK.</p>
            </div>",,,taxable,,1,100,1,Beverages > Energy Drink,89.60000000000001,80,https://cheers.com.np/uploads/products/444660964899963278480358760382588071778310.png
,simple,britvic-spicy-ginger-ale-can-150ml,Britvic Spicy Ginger Ale Can 150ML,1,1,visible,"• Britvic Ginger Ale is a delightfully refreshing and tangy beverage that has a kick of spice that you will adore. ","<div class=""description"">
                <p>• Britvic Ginger Ale is a delightfully refreshing and tangy beverage that has a kick of spice that you will adore. </p><p>• Made with carbonated water, ginger extract and sugar for a well-balanced drink that will delight your senses. </p><p>• Perfect as-is for a bubbly beverage, or use as an ideal cocktail mixer with the tipple of your choice and fresh squeezed lime. </p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,123.20000000000002,110,https://cheers.com.np/uploads/products/18968791595452124135930105942744964354.png
,simple,britvic-indian-tonic-water-can-150ml,Britvic Indian Tonic Water Can 150ML,1,1,visible,"• Britvic Tonic Water is the delightful, bubbly soda water that tastes fantastic and imparts a unique and refreshing sensation. ","<div class=""description"">
                <p>• Britvic Tonic Water is the delightful, bubbly soda water that tastes fantastic and imparts a unique and refreshing sensation. </p><p>• This carbonated water is made with quinine and sugar, making it the perfect balance of sweetness and the bitter taste tonic is known for. </p><p>• Enjoy this tonic with fresh lemon and lime, and as a cocktail mixer for gin and vodka.</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,123.20000000000002,110,https://cheers.com.np/uploads/products/764765723596017694338621499567975665285130.png
,simple,bragg-apple-cider-vinegar-drink-pomegranate---goji-berry-473ml,Bragg Apple Cider Vinegar Drink Pomegranate - Goji Berry 473ML,1,1,visible,"• Apple Cider Vinegar has been highly regarded throughout history. ","<div class=""description"">
                <p>• Apple Cider Vinegar has been highly regarded throughout history. </p><p>• Now you can enjoy Bragg Organic Apple Cider Vinegar in a convenient refreshing drink.</p><p>• Made with combining premium organic apple cider vinegar with organic pomegranate and organic goji berry juice.</p><p>• Sweetened with Natural Stevia</p><p>• Great for a Quick Energy Boost</p>
            </div>",,,taxable,,1,100,1,Beverages > Fruit Juice,543.2,485,https://cheers.com.np/uploads/products/13787249336851766582549939355108619929692.png
,simple,bragg-apple-cider-vinegar-drink-limeade-473ml,Bragg Apple Cider Vinegar Drink Limeade 473ML,1,1,visible,"• Apple Cider Vinegar has been highly regarded throughout history. ","<div class=""description"">
                <p>• Apple Cider Vinegar has been highly regarded throughout history. </p><p>• Now you can enjoy Bragg Organic Apple Cider Vinegar in a convenient refreshing drink.</p><p>• Made with premium organic apple cider vinegar with organic lime juice.</p><p>• Sweetened with Natural Stevia</p><p>• Great for a Quick Energy Boost</p>
            </div>",,,taxable,,1,100,1,Beverages > Fruit Juice,543.2,485,https://cheers.com.np/uploads/products/81862030120210027881873847696611048069.png
,simple,bragg-apple-cider-vinegar-drink-honey-473ml,Bragg Apple Cider Vinegar Drink Honey 473ML,1,1,visible,"• Apple Cider Vinegar has been highly regarded throughout history. ","<div class=""description"">
                <p>• Apple Cider Vinegar has been highly regarded throughout history. </p><p>• Now you can enjoy Bragg Organic Apple Cider Vinegar in a convenient refreshing drink.</p><p>• Made with combining premium organic apple cider vinegar with organic honey.</p><p>• Sweetened with Natural Stevia</p><p>• Great for a Quick Energy Boost</p>
            </div>",,,taxable,,1,100,1,Beverages > Fruit Juice,543.2,485,https://cheers.com.np/uploads/products/127649431878797104003251944885137419824132.png
,simple,bragg-apple-cider-vinegar-drink-ginger-spice-473ml,Bragg Apple Cider Vinegar Drink Ginger Spice 473ML,1,1,visible,"• Apple Cider Vinegar has been highly regarded throughout history. ","<div class=""description"">
                <p>• Apple Cider Vinegar has been highly regarded throughout history. </p><p>• Now you can enjoy Bragg Organic Apple Cider Vinegar in a convenient refreshing drink.</p><p>• Made with spice of organically grown ginger.</p><p>• Sweetened with Natural Stevia</p><p>• Great for a Quick Energy Boost</p>
            </div>",,,taxable,,1,100,1,Beverages > Fruit Juice,543.2,485,https://cheers.com.np/uploads/products/8291954178799108832002666542622475584350014.png
,simple,bragg-apple-cider-vinegar-drink-concord-grape---acai-473ml,Bragg Apple Cider Vinegar Drink Concord Grape - Acai 473ML,1,1,visible,"• Apple Cider Vinegar has been highly regarded throughout history. ","<div class=""description"">
                <p>• Apple Cider Vinegar has been highly regarded throughout history. </p><p>• Now you can enjoy Bragg Organic Apple Cider Vinegar in a convenient refreshing drink.</p><p>• Made with combining premium organic apple cider vinegar with organic concord grape juice and organic acai.</p><p>• Sweetened with Natural Stevia</p><p>• Great for a Quick Energy Boost</p>
            </div>",,,taxable,,1,100,1,Beverages > Fruit Juice,543.2,485,https://cheers.com.np/uploads/products/45122425789060539856396102219889870352452.png
,simple,bragg-apple-cider-vinegar-drink-apple---cinnamon-473ml,Bragg Apple Cider Vinegar Drink Apple - Cinnamon 473ML,1,1,visible,"• Bragg Organic Apple & Cinnamon Cider Vinegar is a refreshing drink based on the traditional apple cider vinegar recipe, which has been highly regarded throughout history. ","<div class=""description"">
                <p>• Bragg Organic Apple &amp; Cinnamon Cider Vinegar is a refreshing drink based on the traditional apple cider vinegar recipe, which has been highly regarded throughout history. </p><p>• It is made by crushing organic apples until the juice is removed and then placing them in wooden barrels to provide them enough time to mature. </p><p>• As the apples ferment, the substance is changed into Vinegar and the Cinnamon is added.</p>
            </div>",,,taxable,,1,100,1,Beverages > Fruit Juice,543.2,485,https://cheers.com.np/uploads/products/24349113865501191668609015108435303517.png
,simple,amul-lassi-200ml,Amul Lassi 200ML,1,1,visible,"• Amul Kool Lassi is refreshing milk based natural drink","<div class=""description"">
                <p>• Amul Kool Lassi is refreshing milk based natural drink</p><p>• It is an easy to use delicious drink that refreshes you immediately with goodness of nature</p><p>• Ingredients: Toned milk dahi, sugar, and water, permitted stabilizers and flavours</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,50.400000000000006,45,https://cheers.com.np/uploads/products/3698957653560870282937774257237951685704.png
,simple,amul-kool-kesar-200ml,Amul Kool Kesar 200ML,1,1,visible,"• Amul Kool Elaichi is refreshing milk with taste of Saffron (Kesar)","<div class=""description"">
                <p>• Amul Kool Elaichi is refreshing milk with taste of Saffron (Kesar)</p><p>• Easy to use delicious drink that refreshes you immediately with goodness of milk</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,72.80000000000001,65,https://cheers.com.np/uploads/products/02315110267704500815303431994520430524404.png
,simple,amul-kool-elaichi-200ml,Amul Kool Elaichi 200ML,1,1,visible,"• Amul Kool Elaichi is refreshing milk with taste of Cardamom (Elaichi)","<div class=""description"">
                <p>• Amul Kool Elaichi is refreshing milk with taste of Cardamom (Elaichi)</p><p>• Easy to use delicious drink that refreshes you immediately with goodness of milk</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,72.80000000000001,65,https://cheers.com.np/uploads/products/4228310540945295530030579165129584122803299.png
,simple,amul-kool-cafe-200ml,Amul Kool Cafe 200ML,1,1,visible,"• Amul Kool Cafe is refreshing milk with coffee","<div class=""description"">
                <p>• Amul Kool Cafe is refreshing milk with coffee</p><p>• Easy to use delicious drink that refreshes you immediately with goodness of milk</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,72.80000000000001,65,https://cheers.com.np/uploads/products/5912205415651079813593163135484592522983296.png
,simple,amul-kool-badam-200ml,Amul Kool Badam 200ML,1,1,visible,"• Amul Kool Elaichi is refreshing milk with taste of Almond (Badam)","<div class=""description"">
                <p>• Amul Kool Elaichi is refreshing milk with taste of Almond (Badam)</p><p>• Easy to use delicious drink that refreshes you immediately with goodness of milk</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,72.80000000000001,65,https://cheers.com.np/uploads/products/436055835299677670669468562321693408796283.png
,simple,amul-badam-shakers-can-200ml,Amul Badam Shakers Can 200ML,1,1,visible,"• Amul Kool Badam Shaker is fun & nourishing drink with 100% almonds blended with milk","<div class=""description"">
                <p>• Amul Kool Badam Shaker is fun &amp; nourishing drink with 100% almonds blended with milk</p><p>• Easy to use delicious drink that refreshes you immediately with goodness of milk</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,112.00000000000001,100,https://cheers.com.np/uploads/products/092441092110150543429377262663617908685301741.png
,simple,sprite-2.25l,Sprite 2.25L,1,1,visible,"Introduced in 1961, Sprite is the world's leading lemon-lime flavored soft drink. Sprite is sold in more than 190 countries and ranks as the No. 3 soft drink worldwide.","<div class=""description"">
                <p>Introduced in 1961, Sprite is the world's leading lemon-lime flavored soft drink. Sprite is sold in more than 190 countries and ranks as the No. 3 soft drink worldwide.</p><p>Since its launch, Sprite has not only established itself as a brand which successfully boasts it's 'cut-thru' perspective with an authentic, edgy, irreverent, urban and straight forward style, but has also achieved status of an undisputed youth 'badge' brand.</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,235.20000000000002,210,https://cheers.com.np/uploads/products/621633302402978493880812505382068171393399.png
,simple,kinley-water-1l,Kinley Water 1L,1,1,visible,Kinley water comes with the assurance of safety from The Coca-Cola Company. Kinley is purified with reverse-osmosis along with the latest technology to ensure purity of the product.,"<div class=""description"">
                <p>Kinley water comes with the assurance of safety from The Coca-Cola Company. Kinley is purified with reverse-osmosis along with the latest technology to ensure purity of the product.</p>
            </div>",,,taxable,,1,100,1,Beverages > Mineral Water,33.6,30,https://cheers.com.np/uploads/products/38445777539408043975323858064782410762840.png
,simple,real-juice-cranberry-1l,Real Juice Cranberry 1L,1,1,visible,Real Cranberry juice is the most popular and loved cranberry fruit beverage. It has been well accepted as the most preferred base for many delightful mocktails and cocktails and has in fact become the key to creating magic at parties! It is loved for its taste which leaves you wanting for more.,"<div class=""description"">
                <p>Real Cranberry juice is the most popular and loved cranberry fruit beverage. It has been well accepted as the most preferred base for many delightful mocktails and cocktails and has in fact become the key to creating magic at parties! It is loved for its taste which leaves you wanting for more.</p>
            </div>",,,taxable,,1,100,1,Beverages > Fruit Juice,274.40000000000003,245,https://cheers.com.np/uploads/products/5112084250975076618894282767879364981711422.png
,simple,coke-2.25l,Coke 2.25L,1,1,visible,"Coca-Cola is the most popular and biggest-selling soft drink in history, as well as one of the most recognizable brands in the world.","<div class=""description"">
                <p>Coca-Cola is the most popular and biggest-selling soft drink in history, as well as one of the most recognizable brands in the world.</p><p>Created in 1886 in Atlanta, Georgia, by Dr. John S. Pemberton, Coca-Cola was first offered as a fountain beverage at Jacob's Pharmacy by mixing Coca-Cola syrup with carbonated water.</p><p>Coca-Cola is Number One Sparkling Brand in Nepal today.</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,235.20000000000002,210,https://cheers.com.np/uploads/products/120557444852284797050688178306212906814394.png
,simple,joiner-juice-pomegranate-320ml,Joiner Juice Pomegranate 320ML,1,1,visible,Pomegranate flavoured Nata de coco drink,"<div class=""description"">
                <p>Pomegranate flavoured Nata de coco drink</p>
            </div>",,,taxable,,1,100,1,Beverages > Fruit Juice,134.4,120,https://cheers.com.np/uploads/products/3723207982491170809463126145704843587047311.png
,simple,buzz-original-taste-energy-drink-250ml,Buzz Original Taste Energy Drink 250ML,1,1,visible,Get Energy to the Next level with BUZZ ENERGY DRINK.,"<div class=""description"">
                <p>Get Energy to the Next level with BUZZ ENERGY DRINK.</p>
            </div>",,,taxable,,1,100,1,Beverages > Energy Drink,84.00000000000001,75,https://cheers.com.np/uploads/products/24311278846870279797232525538687863.png
,simple,xtreme-energy-drink-330ml,Xtreme Energy Drink 330ML,1,1,visible,"• Feel Xtreme, Discover Xtreme, a refreshing flavored fizzy energy drink.","<div class=""description"">
                <p>• Feel Xtreme, Discover Xtreme, a refreshing flavored fizzy energy drink.</p><p>• Experience the perfect balance of health &amp; taste.</p><p>• It is especially formulated with Taurine and Caffeine to give you Xtreme performance.</p>
            </div>",,,taxable,,1,100,1,Beverages > Energy Drink,168.00000000000003,150,https://cheers.com.np/uploads/products/332377989485851992661587810065455053866.png
,simple,london-dry-tonic-water-500ml,London Dry Tonic Water 500ML,1,1,visible,"London dry is a pleasant, smooth, and refreshingly perfect Tonic water. The quinine bitterness with a lemon note is strong but nicely balanced and works well on any drink or on its own!","<div class=""description"">
                <p>London dry is a pleasant, smooth, and refreshingly perfect Tonic water. The quinine bitterness with a lemon note is strong but nicely balanced and works well on any drink or on its own!</p><p>Crafted using carefully selected lemons and the best quality Quinine, London Dry is right up the class.</p><p>Combine it with your favourite gin, vodka or create miracles in the bar with varities of flavors. London dry is a perfect complement to all.</p><p>The goodness of the perfect Tonic water - London dry.</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,212.8,190,https://cheers.com.np/uploads/products/190687219353580480426423642012036571282749.png
,simple,costa-brava-tonic-water-330ml,Costa Brava Tonic Water 330ML,1,1,visible,"Our finely crafted classic tonic water has a crisp bold taste with a pronounced quinine character and zesty lime.","<div class=""description"">
                <p>Our finely crafted classic tonic water has a crisp bold taste with a pronounced quinine character and zesty lime.</p><p>Enjoy our tonic water to refine your spirits without masking it.</p>
            </div>",,,taxable,,1,100,1,Beverages > Soft Drinks,112.00000000000001,100,https://cheers.com.np/uploads/products/329696371528539948807325848564566021393533.png
